#  Data for: empty_60SDS_micelle_CHARMM36_OPC_10fsSF_293K 
#  Bond: alpha 
#  Relaxation experiment: T1 
#  Magnetic field [T], Average T1 SRT [s], Error SRT [s]
2.350000000000000089e+00 2.091387300239992697e-02 1.453436658575421201e-03
2.475306122448979629e+00 2.124228180433251900e-02 1.380206077076083070e-03
2.600612244897959169e+00 2.157355450781814343e-02 1.315575347907195275e-03
2.725918367346938709e+00 2.190712688257895335e-02 1.259965222570372332e-03
2.851224489795918693e+00 2.224251069338259099e-02 1.213594237729713216e-03
2.976530612244897789e+00 2.257928395854178275e-02 1.176453292982968012e-03
3.101836734693877773e+00 2.291708247520906835e-02 1.148292822544964842e-03
3.227142857142857313e+00 2.325559247081598890e-02 1.128629306313628459e-03
3.352448979591836853e+00 2.359454423392825725e-02 1.116773746788212590e-03
3.477755102040816393e+00 2.393370658541996154e-02 1.111879150487419046e-03
3.603061224489795933e+00 2.427288206539785984e-02 1.112999293984865681e-03
3.728367346938775917e+00 2.461190272834424056e-02 1.119149056034382484e-03
3.853673469387755013e+00 2.495062645587939679e-02 1.129357773049930163e-03
3.978979591836734997e+00 2.528893371197451709e-02 1.142710321686728160e-03
4.104285714285714093e+00 2.562672467876428786e-02 1.158374279771660692e-03
4.229591836734694077e+00 2.596391672218955129e-02 1.175614316170499026e-03
4.354897959183674061e+00 2.630044214568197022e-02 1.193796464523532710e-03
4.480204081632653157e+00 2.663624619725310852e-02 1.212385319014454678e-03
4.605510204081632253e+00 2.697128530097650870e-02 1.230936877169663260e-03
4.730816326530612237e+00 2.730552548825455547e-02 1.249089145356543310e-03
4.856122448979592221e+00 2.763894100771010706e-02 1.266551981954244354e-03
4.981428571428571317e+00 2.797151309526037591e-02 1.283097111246123828e-03
5.106734693877551301e+00 2.830322888810014523e-02 1.298548836610340963e-03
5.232040816326531285e+00 2.863408046808363361e-02 1.312775705528049794e-03
5.357346938775510381e+00 2.896406402145763545e-02 1.325683204348146937e-03
5.482653061224489477e+00 2.929317910314120990e-02 1.337207458748440473e-03
5.607959183673469461e+00 2.962142799482757327e-02 1.347309862170026004e-03
5.733265306122449445e+00 2.994881514714162196e-02 1.355972531155954716e-03
5.858571428571428541e+00 3.027534669695048850e-02 1.363194481086831044e-03
5.983877551020408525e+00 3.060103005171281240e-02 1.368988420193088026e-03
6.109183673469388509e+00 3.092587353347841725e-02 1.373378068913725823e-03
6.234489795918367605e+00 3.124988607582200595e-02 1.376395922687426339e-03
6.359795918367346701e+00 3.157307696761710997e-02 1.378081387432894545e-03
6.485102040816327573e+00 3.189545563813480505e-02 1.378479227436368729e-03
6.610408163265306669e+00 3.221703147848676424e-02 1.377638274728599285e-03
6.735714285714285765e+00 3.253781369492795422e-02 1.375610357186575223e-03
6.861020408163264861e+00 3.285781118999006600e-02 1.372449409567312335e-03
6.986326530612245733e+00 3.317703246783714616e-02 1.368210737574453249e-03
7.111632653061224829e+00 3.349548556061882065e-02 1.362950410001637601e-03
7.236938775510203925e+00 3.381317797294814548e-02 1.356724758123283242e-03
7.362244897959183021e+00 3.413011664195025885e-02 1.349589964938493905e-03
7.487551020408163893e+00 3.444630791061836089e-02 1.341601729729205656e-03
7.612857142857142989e+00 3.476175751247573276e-02 1.332814995766037642e-03
7.738163265306122085e+00 3.507647056577917200e-02 1.323283730967422410e-03
7.863469387755102957e+00 3.539045157571196060e-02 1.313060752957809609e-03
7.988775510204082053e+00 3.570370444320562081e-02 1.302197591337135672e-03
8.114081632653061149e+00 3.601623247920052867e-02 1.290744381113344144e-03
8.239387755102040245e+00 3.632803842330777772e-02 1.278749782201877953e-03
8.364693877551021117e+00 3.663912446597108324e-02 1.266260920693064061e-03
8.490000000000000213e+00 3.694949227334791420e-02 1.253323348256232209e-03
