#  Data for: empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF 
#  Bond: alpha 
#  Relaxation experiment: T1 
#  Magnetic field [T], Average T1 SRT [s], Error SRT [s]
2.350000000000000089e+00 3.506947735256461113e-02 2.210063060297894240e-03
2.475306122448979629e+00 3.521086931873071424e-02 2.181514619988645775e-03
2.600612244897959169e+00 3.535862399504868109e-02 2.151911350501754631e-03
2.725918367346938709e+00 3.551261080150279470e-02 2.121307685523505810e-03
2.851224489795918693e+00 3.567269667089068702e-02 2.089758528873203632e-03
2.976530612244897789e+00 3.583874645294858607e-02 2.057319046014225144e-03
3.101836734693877773e+00 3.601062330719373428e-02 2.024044465440311309e-03
3.227142857142857313e+00 3.618818908265423323e-02 1.989989890993673106e-03
3.352448979591836853e+00 3.637130468289694052e-02 1.955210126001862350e-03
3.477755102040816393e+00 3.655983041500438652e-02 1.919759509954962638e-03
3.603061224489795933e+00 3.675362632138843427e-02 1.883691768284737099e-03
3.728367346938775917e+00 3.695255249355862415e-02 1.847059875656816659e-03
3.853673469387755013e+00 3.715646936718395438e-02 1.809915933046939455e-03
3.978979591836734997e+00 3.736523799799588985e-02 1.772311058745244501e-03
4.104285714285714093e+00 3.757872031827617226e-02 1.734295293319959531e-03
4.229591836734694077e+00 3.779677937385378383e-02 1.695917518474843915e-03
4.354897959183674061e+00 3.801927954170031959e-02 1.657225389654828386e-03
4.480204081632653157e+00 3.824608672836137674e-02 1.618265282192139906e-03
4.605510204081632253e+00 3.847706854959338091e-02 1.579082250741945101e-03
4.730816326530612237e+00 3.871209449169000366e-02 1.539720001732915308e-03
4.856122448979592221e+00 3.895103605508082323e-02 1.500220878555154867e-03
4.981428571428571317e+00 3.919376688086756433e-02 1.460625859226662160e-03
5.106734693877551301e+00 3.944016286103049079e-02 1.420974566321427882e-03
5.232040816326531285e+00 3.969010223309055174e-02 1.381305289009294134e-03
5.357346938775510381e+00 3.994346566005277377e-02 1.341655017151925904e-03
5.482653061224489477e+00 4.020013629648368919e-02 1.302059487524527851e-03
5.607959183673469461e+00 4.045999984159189683e-02 1.262553242393013456e-03
5.733265306122449445e+00 4.072294458018713148e-02 1.223169700877412610e-03
5.858571428571428541e+00 4.098886141239076186e-02 1.183941243781353814e-03
5.983877551020408525e+00 4.125764387295998564e-02 1.144899312874972678e-03
6.109183673469388509e+00 4.152918814107106615e-02 1.106074525996509879e-03
6.234489795918367605e+00 4.180339304138443873e-02 1.067496809803117168e-03
6.359795918367346701e+00 4.208016003718666881e-02 1.029195552574870953e-03
6.485102040816327573e+00 4.235939321637342131e-02 9.911997801846047541e-04
6.610408163265306669e+00 4.264099927100339221e-02 9.535383592243038171e-04
6.735714285714285765e+00 4.292488747111655040e-02 9.162402323702355982e-04
6.861020408163264861e+00 4.321096963347258874e-02 8.793346924273181273e-04
6.986326530612245733e+00 4.349916008582616067e-02 8.428517031865758466e-04
7.111632653061224829e+00 4.378937562731680805e-02 8.068222773382073120e-04
7.236938775510203925e+00 4.408153548551186490e-02 7.712789243019408910e-04
7.362244897959183021e+00 4.437556127060231920e-02 7.362561840698880408e-04
7.487551020408163893e+00 4.467137692721345754e-02 7.017912671065061874e-04
7.612857142857142989e+00 4.496890868425528626e-02 6.679248250887389465e-04
7.738163265306122085e+00 4.526808500320243095e-02 6.347018827865576066e-04
7.863469387755102957e+00 4.556883652515849453e-02 6.021729674838177714e-04
7.988775510204082053e+00 4.587109601702801104e-02 5.703954784472089513e-04
8.114081632653061149e+00 4.617479831708765081e-02 5.394353437737620625e-04
8.239387755102040245e+00 4.647988028021943913e-02 5.093690128858245365e-04
8.364693877551021117e+00 4.678628072304128610e-02 4.802858251268442920e-04
8.490000000000000213e+00 4.709394036914456988e-02 4.522907697170599410e-04
