#  Data for: empty_60SDS_Na_DESAmber_TIP4P_293K_10fsSF 
#  Bond: gamma 
#  Relaxation experiment: T1 
#  Magnetic field [T], Average T1 SRT [s], Error SRT [s]
2.350000000000000089e+00 9.318583635456843470e-03 2.799118878249662410e-03
2.475306122448979629e+00 9.468979276965999378e-03 2.762858486257797029e-03
2.600612244897959169e+00 9.624461562045173377e-03 2.725737943987286121e-03
2.725918367346938709e+00 9.784786569769769737e-03 2.687845185133720758e-03
2.851224489795918693e+00 9.949721405398766552e-03 2.649263518344190712e-03
2.976530612244897789e+00 1.011904405602823999e-02 2.610071743792360434e-03
3.101836734693877773e+00 1.029254308624819036e-02 2.570344335662150866e-03
3.227142857142857313e+00 1.047001721558232269e-02 2.530151673255514721e-03
3.352448979591836853e+00 1.065127481428389776e-02 2.489560305587000186e-03
3.477755102040816393e+00 1.083613334860124809e-02 2.448633236578271269e-03
3.603061224489795933e+00 1.102441880123674993e-02 2.407430220186441896e-03
3.728367346938775917e+00 1.121596508763507416e-02 2.366008056895979855e-03
3.853673469387755013e+00 1.141061348410185756e-02 2.324420884912142479e-03
3.978979591836734997e+00 1.160821207965940204e-02 2.282720461078782161e-03
4.104285714285714093e+00 1.180861526002591200e-02 2.240956427990214127e-03
4.229591836734694077e+00 1.201168322915592383e-02 2.199176564976375748e-03
4.354897959183674061e+00 1.221728157137152125e-02 2.157427021624708490e-03
4.480204081632653157e+00 1.242528085519992165e-02 2.115752533279097788e-03
4.605510204081632253e+00 1.263555627855671333e-02 2.074196618548454149e-03
4.730816326530612237e+00 1.284798735381501716e-02 2.032801759288040740e-03
4.856122448979592221e+00 1.306245763052085208e-02 1.991609563808956641e-03
4.981428571428571317e+00 1.327885445299698507e-02 1.950660914246411326e-03
5.106734693877551301e+00 1.349706874977140043e-02 1.909996099095124644e-03
5.232040816326531285e+00 1.371699485162700648e-02 1.869654931917217331e-03
5.357346938775510381e+00 1.393853033505711159e-02 1.829676857158168361e-03
5.482653061224489477e+00 1.416157588799446358e-02 1.790101043881964791e-03
5.607959183673469461e+00 1.438603519483225984e-02 1.750966468066622421e-03
5.733265306122449445e+00 1.461181483795214071e-02 1.712311983893276095e-03
5.858571428571428541e+00 1.483882421319864843e-02 1.674176384222521730e-03
5.983877551020408525e+00 1.506697545697870642e-02 1.636598450184984952e-03
6.109183673469388509e+00 1.529618338290729407e-02 1.599616989524336921e-03
6.234489795918367605e+00 1.552636542615980220e-02 1.563270863024406781e-03
6.359795918367346701e+00 1.575744159392073254e-02 1.527598998033006519e-03
6.485102040816327573e+00 1.598933442053491680e-02 1.492640387770595520e-03
6.610408163265306669e+00 1.622196892616806219e-02 1.458434074790601002e-03
6.735714285714285765e+00 1.645527257796706652e-02 1.425019116652171455e-03
6.861020408163264861e+00 1.668917525287673745e-02 1.392434531591147089e-03
6.986326530612245733e+00 1.692360920141846095e-02 1.360719221750752777e-03
7.111632653061224829e+00 1.715850901186833852e-02 1.329911871385467716e-03
7.236938775510203925e+00 1.739381157438838962e-02 1.300050817409100336e-03
7.362244897959183021e+00 1.762945604476540140e-02 1.271173889756335674e-03
7.487551020408163893e+00 1.786538380749942700e-02 1.243318219303372538e-03
7.612857142857142989e+00 1.810153843805857934e-02 1.216520011587116264e-03
7.738163265306122085e+00 1.833786566418018141e-02 1.190814285309904066e-03
7.863469387755102957e+00 1.857431332615127467e-02 1.166234575647620867e-03
7.988775510204082053e+00 1.881083133604584054e-02 1.142812603708722331e-03
8.114081632653061149e+00 1.904737163593197072e-02 1.120577915115514604e-03
8.239387755102040245e+00 1.928388815509122015e-02 1.099557492563801950e-03
8.364693877551021117e+00 1.952033676631558315e-02 1.079775349294713211e-03
8.490000000000000213e+00 1.975667524136482875e-02 1.061252112576004884e-03
