#  Data for: empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF 
#  Bond: gamma 
#  Relaxation experiment: T1 
#  Magnetic field [T], Average T1 SRT [s], Error SRT [s]
2.350000000000000089e+00 5.024477215718886614e-02 3.294165281050443709e-03
2.475306122448979629e+00 5.058279329004635588e-02 3.180120851696833541e-03
2.600612244897959169e+00 5.090767039742022382e-02 3.080274115541667412e-03
2.725918367346938709e+00 5.122014174082609866e-02 2.993186598569311414e-03
2.851224489795918693e+00 5.152097357921873316e-02 2.917410277116068429e-03
2.976530612244897789e+00 5.181093802049963060e-02 2.851528091264488463e-03
3.101836734693877773e+00 5.209079719546128723e-02 2.794185964519467144e-03
3.227142857142857313e+00 5.236129216052603369e-02 2.744116484535004136e-03
3.352448979591836853e+00 5.262313533674328747e-02 2.700154748711120194e-03
3.477755102040816393e+00 5.287700559128424849e-02 2.661247233478418722e-03
3.603061224489795933e+00 5.312354528930437331e-02 2.626454804798959101e-03
3.728367346938775917e+00 5.336335880858819603e-02 2.594951107522103489e-03
3.853673469387755013e+00 5.359701213206911202e-02 2.566017557972155323e-03
3.978979591836734997e+00 5.382503322535401452e-02 2.539036050126722809e-03
4.104285714285714093e+00 5.404791297592836247e-02 2.513480312302160055e-03
4.229591836734694077e+00 5.426610652364693976e-02 2.488906655828742806e-03
4.354897959183674061e+00 5.448003485266281198e-02 2.464944667345282930e-03
4.480204081632653157e+00 5.469008654617971837e-02 2.441288228763283281e-03
4.605510204081632253e+00 5.489661962956721153e-02 2.417687111202110849e-03
4.730816326530612237e+00 5.509996344610910285e-02 2.393939282415917785e-03
4.856122448979592221e+00 5.530042052419394810e-02 2.369883988733638511e-03
4.981428571428571317e+00 5.549826840603677702e-02 2.345395617828351965e-03
5.106734693877551301e+00 5.569376141675528441e-02 2.320378312772895368e-03
5.232040816326531285e+00 5.588713235936210166e-02 2.294761286192692137e-03
5.357346938775510381e+00 5.607859412640456981e-02 2.268494771941695701e-03
5.482653061224489477e+00 5.626834122292289492e-02 2.241546547435648972e-03
5.607959183673469461e+00 5.645655119836754526e-02 2.213898960158197041e-03
5.733265306122449445e+00 5.664338598733001384e-02 2.185546395130070173e-03
5.858571428571428541e+00 5.682899316055928934e-02 2.156493125038625065e-03
5.983877551020408525e+00 5.701350708889393187e-02 2.126751490399113754e-03
6.109183673469388509e+00 5.719705002353867029e-02 2.096340362991805806e-03
6.234489795918367605e+00 5.737973309663731841e-02 2.065283851533664117e-03
6.359795918367346701e+00 5.756165724640675135e-02 2.033610213890469504e-03
6.485102040816327573e+00 5.774291407124954728e-02 2.001350945009063454e-03
6.610408163265306669e+00 5.792358661729727493e-02 1.968540014106960785e-03
6.735714285714285765e+00 5.810375010378329708e-02 1.935213228499713155e-03
6.861020408163264861e+00 5.828347259052769208e-02 1.901407704800573079e-03
6.986326530612245733e+00 5.846281559165768943e-02 1.867161431131160497e-03
7.111632653061224829e+00 5.864183463949782654e-02 1.832512906481825266e-03
7.236938775510203925e+00 5.882057980235885081e-02 1.797500845502995577e-03
7.362244897959183021e+00 5.899909615973768923e-02 1.762163938839119044e-03
7.487551020408163893e+00 5.917742423822384273e-02 1.726540660677195610e-03
7.612857142857142989e+00 5.935560041119000013e-02 1.690669116510889157e-03
7.738163265306122085e+00 5.953365726513456385e-02 1.654586925252544494e-03
7.863469387755102957e+00 5.971162393533918644e-02 1.618331130789638648e-03
7.988775510204082053e+00 5.988952641331097421e-02 1.581938138905366990e-03
8.114081632653061149e+00 6.006738782829323942e-02 1.545443676187859472e-03
8.239387755102040245e+00 6.024522870495644528e-02 1.508882768159002354e-03
8.364693877551021117e+00 6.042306719921663322e-02 1.472289734378682321e-03
8.490000000000000213e+00 6.060091931397703496e-02 1.435698198738295144e-03
