#  Data for: empty_60SDS_micelle_CHARMM36_OPC_10fsSF_307K 
#  Bond: omega 
#  Relaxation experiment: T1 
#  Magnetic field [T], Average T1 SRT [s], Error SRT [s]
2.350000000000000089e+00 4.686303597258632547e-01 2.028965649978825558e-02
2.475306122448979629e+00 4.694021857540397469e-01 1.977993288529066723e-02
2.600612244897959169e+00 4.701770624319527303e-01 1.926895295165362287e-02
2.725918367346938709e+00 4.709532239087652616e-01 1.875879258530337851e-02
2.851224489795918693e+00 4.717289717496375157e-01 1.825133625106392307e-02
2.976530612244897789e+00 4.725027084354091467e-01 1.774828296426280913e-02
3.101836734693877773e+00 4.732729580070676456e-01 1.725115356905363231e-02
3.227142857142857313e+00 4.740383774535859573e-01 1.676129913423740278e-02
3.352448979591836853e+00 4.747977614151472903e-01 1.627991021954099463e-02
3.477755102040816393e+00 4.755500420809604112e-01 1.580802674740442587e-02
3.603061224489795933e+00 4.762942856782734768e-01 1.534654822282059336e-02
3.728367346938775917e+00 4.770296866029045124e-01 1.489624406641144871e-02
3.853673469387755013e+00 4.777555599864595215e-01 1.445776385670558169e-02
3.978979591836734997e+00 4.784713333032049598e-01 1.403164731178532625e-02
4.104285714285714093e+00 4.791765374722420923e-01 1.361833387497500374e-02
4.229591836734694077e+00 4.798707977963034277e-01 1.321817180209370994e-02
4.354897959183674061e+00 4.805538249891100899e-01 1.283142667783715961e-02
4.480204081632653157e+00 4.812254064730979164e-01 1.245828931551064972e-02
4.605510204081632253e+00 4.818853980743365573e-01 1.209888301742214831e-02
4.730816326530612237e+00 4.825337161985354117e-01 1.175327019280249935e-02
4.856122448979592221e+00 4.831703305387540781e-01 1.142145834638057245e-02
4.981428571428571317e+00 4.837952573399302847e-01 1.110340546395769540e-02
5.106734693877551301e+00 4.844085532260805071e-01 1.079902483182576360e-02
5.232040816326531285e+00 4.850103095817847598e-01 1.050818933492436887e-02
5.357346938775510381e+00 4.856006474693165820e-01 1.023073528450742925e-02
5.482653061224489477e+00 4.861797130557000135e-01 9.966465829981882574e-03
5.607959183673469461e+00 4.867476735193772552e-01 9.715154011671358475e-03
5.733265306122449445e+00 4.873047134034989014e-01 9.476545511663695201e-03
5.858571428571428541e+00 4.878510313816484256e-01 9.250361158734793018e-03
5.983877551020408525e+00 4.883868374017139580e-01 9.036299240695613855e-03
6.109183673469388509e+00 4.889123501743329325e-01 8.834037673492096607e-03
6.234489795918367605e+00 4.894277949736142719e-01 8.643236071131623482e-03
6.359795918367346701e+00 4.899334017195145496e-01 8.463537754189004794e-03
6.485102040816327573e+00 4.904294033131575969e-01 8.294571727477655088e-03
6.610408163265306669e+00 4.909160341984296072e-01 8.135954649729583432e-03
6.735714285714285765e+00 4.913935291252757298e-01 7.987292810121941755e-03
6.861020408163264861e+00 4.918621220921998716e-01 7.848184118556979574e-03
6.986326530612245733e+00 4.923220454474970254e-01 7.718220109094802231e-03
7.111632653061224829e+00 4.927735291306694632e-01 7.596987949180146298e-03
7.236938775510203925e+00 4.932168000373071126e-01 7.484072441590518959e-03
7.362244897959183021e+00 4.936520814924101330e-01 7.379058001579642638e-03
7.487551020408163893e+00 4.940795928187065589e-01 7.281530588646886043e-03
7.612857142857142989e+00 4.944995489879617789e-01 7.191079570774326635e-03
7.738163265306122085e+00 4.949121603445970075e-01 7.107299498806596803e-03
7.863469387755102957e+00 4.953176323921337776e-01 7.029791769776375966e-03
7.988775510204082053e+00 4.957161656340598466e-01 6.958166160206029870e-03
8.114081632653061149e+00 4.961079554616924514e-01 6.892042213514665283e-03
8.239387755102040245e+00 4.964931920824859901e-01 6.831050469346054178e-03
8.364693877551021117e+00 4.968720604830143550e-01 6.774833526657682813e-03
8.490000000000000213e+00 4.972447404215571409e-01 6.723046936500594838e-03
