#  Data for: empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF_307K 
#  Bond: omega 
#  Relaxation experiment: T1 
#  Magnetic field [T], Average T1 SRT [s], Error SRT [s]
2.350000000000000089e+00 5.813300823894881342e-01 4.387447523294352343e-03
2.475306122448979629e+00 5.813661367901088450e-01 4.378255880939938352e-03
2.600612244897959169e+00 5.814040070470114507e-01 4.368607773074755299e-03
2.725918367346938709e+00 5.814436847128879871e-01 4.358506318272602556e-03
2.851224489795918693e+00 5.814851609631729312e-01 4.347954774861756584e-03
2.976530612244897789e+00 5.815284266015644521e-01 4.336956538960593487e-03
3.101836734693877773e+00 5.815734720657519397e-01 4.325515142441894480e-03
3.227142857142857313e+00 5.816202874333439299e-01 4.313634250828877852e-03
3.352448979591836853e+00 5.816688624279890973e-01 4.301317661124298350e-03
3.477755102040816393e+00 5.817191864256812117e-01 4.288569299577132954e-03
3.603061224489795933e+00 5.817712484612452828e-01 4.275393219388690103e-03
3.728367346938775917e+00 5.818250372349916821e-01 4.261793598361009010e-03
3.853673469387755013e+00 5.818805411195345778e-01 4.247774736491970009e-03
3.978979591836734997e+00 5.819377481667672436e-01 4.233341053518614727e-03
4.104285714285714093e+00 5.819966461149816972e-01 4.218497086412495087e-03
4.229591836734694077e+00 5.820572223961318903e-01 4.203247486831154615e-03
4.354897959183674061e+00 5.821194641432243522e-01 4.187597018526900000e-03
4.480204081632653157e+00 5.821833581978359540e-01 4.171550554718842473e-03
4.605510204081632253e+00 5.822488911177446935e-01 4.155113075428836997e-03
4.730816326530612237e+00 5.823160491846682829e-01 4.138289664787245942e-03
4.856122448979592221e+00 5.823848184121018789e-01 4.121085508309694709e-03
4.981428571428571317e+00 5.824551845532454086e-01 4.103505890150179608e-03
5.106734693877551301e+00 5.825271331090146054e-01 4.085556190331935712e-03
5.232040816326531285e+00 5.826006493361254313e-01 4.067241881961876880e-03
5.357346938775510381e+00 5.826757182552432246e-01 4.048568528430166596e-03
5.482653061224489477e+00 5.827523246591923556e-01 4.029541780598633674e-03
5.607959183673469461e+00 5.828304531212130657e-01 4.010167373983020145e-03
5.733265306122449445e+00 5.829100880032602738e-01 3.990451125930692851e-03
5.858571428571428541e+00 5.829912134643366883e-01 3.970398932798024569e-03
5.983877551020408525e+00 5.830738134688516761e-01 3.950016767131627089e-03
6.109183673469388509e+00 5.831578717949956747e-01 3.929310674855229085e-03
6.234489795918367605e+00 5.832433720431281499e-01 3.908286772467172224e-03
6.359795918367346701e+00 5.833302976441652188e-01 3.886951244251602485e-03
6.485102040816327573e+00 5.834186318679634997e-01 3.865310339505656501e-03
6.610408163265306669e+00 5.835083578316925257e-01 3.843370369787769015e-03
6.735714285714285765e+00 5.835994585081850650e-01 3.821137706189027452e-03
6.861020408163264861e+00 5.836919167342641268e-01 3.798618776631588166e-03
6.986326530612245733e+00 5.837857152190344401e-01 3.775820063197243923e-03
7.111632653061224829e+00 5.838808365521345189e-01 3.752748099489714405e-03
7.236938775510203925e+00 5.839772632119419882e-01 3.729409468033101794e-03
7.362244897959183021e+00 5.840749775737258398e-01 3.705810797710751975e-03
7.487551020408163893e+00 5.841739619177399589e-01 3.681958761246974243e-03
7.612857142857142989e+00 5.842741984372515907e-01 3.657860072734814023e-03
7.738163265306122085e+00 5.843756692464973090e-01 3.633521485213418289e-03
7.863469387755102957e+00 5.844783563885648237e-01 3.608949788297717218e-03
7.988775510204082053e+00 5.845822418431917411e-01 3.584151805863147310e-03
8.114081632653061149e+00 5.846873075344763970e-01 3.559134393789327357e-03
8.239387755102040245e+00 5.847935353384979829e-01 3.533904437764269317e-03
8.364693877551021117e+00 5.849009070908400831e-01 3.508468851154113166e-03
8.490000000000000213e+00 5.850094045940110732e-01 3.482834572938366645e-03
