#  Data for: empty_60SDS_Na_DESAmber_TIP4P_293K_10fsSF 
#  Bond: alpha 
#  Relaxation experiment: T2 
#  Magnetic field [T], Average T2 SRT [s], Error SRT [s]
2.350000000000000089e+00 1.847628280522485220e-02 4.159711975610998203e-03
2.475306122448979629e+00 1.854338784128309325e-02 4.135929781796807841e-03
2.600612244897959169e+00 1.861219557721134274e-02 4.111707713379169141e-03
2.725918367346938709e+00 1.868256651276373539e-02 4.087103375059951763e-03
2.851224489795918693e+00 1.875436932712268648e-02 4.062170369101115487e-03
2.976530612244897789e+00 1.882748045141928103e-02 4.036958560538106595e-03
3.101836734693877773e+00 1.890178360687939582e-02 4.011514348301438784e-03
3.227142857142857313e+00 1.897716933204399853e-02 3.985880931585158646e-03
3.352448979591836853e+00 1.905353451627441949e-02 3.960098564119424354e-03
3.477755102040816393e+00 1.913078195154852695e-02 3.934204791692130429e-03
3.603061224489795933e+00 1.920881991035501210e-02 3.908234670361495494e-03
3.728367346938775917e+00 1.928756175421209376e-02 3.882220964375948484e-03
3.853673469387755013e+00 1.936692557485631891e-02 3.856194323950002095e-03
3.978979591836734997e+00 1.944683386833663888e-02 3.830183443816309249e-03
4.104285714285714093e+00 1.952721324098473724e-02 3.804215203961677956e-03
4.229591836734694077e+00 1.960799414539856136e-02 3.778314794224961037e-03
4.354897959183674061e+00 1.968911064407384212e-02 3.752505824545161912e-03
4.480204081632653157e+00 1.977050019806388462e-02 3.726810422644756537e-03
4.605510204081632253e+00 1.985210347797287597e-02 3.701249320853271241e-03
4.730816326530612237e+00 1.993386419463921699e-02 3.675841933648140575e-03
4.856122448979592221e+00 2.001572894699946148e-02 3.650606427334771118e-03
4.981428571428571317e+00 2.009764708481051945e-02 3.625559783121580591e-03
5.106734693877551301e+00 2.017957058412188712e-02 3.600717854678989714e-03
5.232040816326531285e+00 2.026145393361626634e-02 3.576095421111771377e-03
5.357346938775510381e+00 2.034325403016166989e-02 3.551706236125912620e-03
5.482653061224489477e+00 2.042493008213491085e-02 3.527563074037241668e-03
5.607959183673469461e+00 2.050644351927867828e-02 3.503677773150462235e-03
5.733265306122449445e+00 2.058775790804015168e-02 3.480061276934083743e-03
5.858571428571428541e+00 2.066883887150630997e-02 3.456723673328456013e-03
5.983877551020408525e+00 2.074965401320001332e-02 3.433674232449863452e-03
6.109183673469388509e+00 2.083017284413113748e-02 3.410921442891897987e-03
6.234489795918367605e+00 2.091036671261093868e-02 3.388473046775054235e-03
6.359795918367346701e+00 2.099020873643451732e-02 3.366336073654990681e-03
6.485102040816327573e+00 2.106967373711969918e-02 3.344516873368076713e-03
6.610408163265306669e+00 2.114873817595980601e-02 3.323021147868248249e-03
6.735714285714285765e+00 2.122738009170612936e-02 3.301853982090647080e-03
6.861020408163264861e+00 2.130557903974347744e-02 3.281019873864240554e-03
6.986326530612245733e+00 2.138331603266109202e-02 3.260522762886136714e-03
7.111632653061224829e+00 2.146057348215217597e-02 3.240366058764465682e-03
7.236938775510203925e+00 2.153733514219994052e-02 3.220552668133170541e-03
7.362244897959183021e+00 2.161358605352672879e-02 3.201085020840692668e-03
7.487551020408163893e+00 2.168931248929702529e-02 3.181965095214591994e-03
7.612857142857142989e+00 2.176450190207548929e-02 3.163194442405281061e-03
7.738163265306122085e+00 2.183914287204784602e-02 3.144774209813903584e-03
7.863469387755102957e+00 2.191322505651712230e-02 3.126705163611744401e-03
7.988775510204082053e+00 2.198673914068973237e-02 3.108987710361050920e-03
8.114081632653061149e+00 2.205967678976660309e-02 3.091621917749828082e-03
8.239387755102040245e+00 2.213203060235366393e-02 3.074607534455627792e-03
8.364693877551021117e+00 2.220379406520442758e-02 3.057944009155869145e-03
8.490000000000000213e+00 2.227496150930487542e-02 3.041630508704224172e-03
