#  Data for: empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF_307K 
#  Bond: alpha 
#  Relaxation experiment: T2 
#  Magnetic field [T], Average T2 SRT [s], Error SRT [s]
2.350000000000000089e+00 4.105842587117775749e-02 1.461239092629717726e-03
2.475306122448979629e+00 4.111634116291587593e-02 1.452163981375332799e-03
2.600612244897959169e+00 4.117677903748408891e-02 1.442806207011398945e-03
2.725918367346938709e+00 4.123967844159992513e-02 1.433187487598518682e-03
2.851224489795918693e+00 4.130497784475304496e-02 1.423329279696684954e-03
2.976530612244897789e+00 4.137261544673199315e-02 1.413252685712734248e-03
3.101836734693877773e+00 4.144252937061067982e-02 1.402978371334472974e-03
3.227142857142857313e+00 4.151465784073170989e-02 1.392526493098192753e-03
3.352448979591836853e+00 4.158893934547270438e-02 1.381916635975117364e-03
3.477755102040816393e+00 4.166531278480584133e-02 1.371167760721987532e-03
3.603061224489795933e+00 4.174371760285760374e-02 1.360298160621790410e-03
3.728367346938775917e+00 4.182409390584494041e-02 1.349325427143084751e-03
3.853673469387755013e+00 4.190638256590567545e-02 1.338266423969701208e-03
3.978979591836734997e+00 4.199052531145494593e-02 1.327137268795800223e-03
4.104285714285714093e+00 4.207646480478893086e-02 1.315953322242847121e-03
4.229591836734694077e+00 4.216414470772201356e-02 1.304729183233333586e-03
4.354897959183674061e+00 4.225350973608723443e-02 1.293478690149072038e-03
4.480204081632653157e+00 4.234450570395393437e-02 1.282214927107770165e-03
4.605510204081632253e+00 4.243707955842466323e-02 1.270950234707809903e-03
4.730816326530612237e+00 4.253117940586578077e-02 1.259696224616627851e-03
4.856122448979592221e+00 4.262675453040807444e-02 1.248463797409997845e-03
4.981428571428571317e+00 4.272375540552476175e-02 1.237263163106735531e-03
5.106734693877551301e+00 4.282213369945823273e-02 1.226103863884295568e-03
5.232040816326531285e+00 4.292184227522491402e-02 1.214994798503490816e-03
5.357346938775510381e+00 4.302283518588199268e-02 1.203944248014778180e-03
5.482653061224489477e+00 4.312506766569104005e-02 1.192959902362372053e-03
5.607959183673469461e+00 4.322849611776404671e-02 1.182048887545687115e-03
5.733265306122449445e+00 4.333307809872769673e-02 1.171217793039153014e-03
5.858571428571428541e+00 4.343877230089236013e-02 1.160472699211144128e-03
5.983877551020408525e+00 4.354553853236491773e-02 1.149819204519832985e-03
6.109183673469388509e+00 4.365333769549845783e-02 1.139262452298458062e-03
6.234489795918367605e+00 4.376213176402918986e-02 1.128807156974094431e-03
6.359795918367346701e+00 4.387188375920944572e-02 1.118457629592927490e-03
6.485102040816327573e+00 4.398255772520853757e-02 1.108217802551019013e-03
6.610408163265306669e+00 4.409411870401828276e-02 1.098091253452611587e-03
6.735714285714285765e+00 4.420653271006744212e-02 1.088081228038510241e-03
6.861020408163264861e+00 4.431976670472135421e-02 1.078190662145043577e-03
6.986326530612245733e+00 4.443378857081594496e-02 1.068422202669286596e-03
7.111632653061224829e+00 4.454856708735225462e-02 1.058778227529792986e-03
7.236938775510203925e+00 4.466407190445677994e-02 1.049260864622964147e-03
7.362244897959183021e+00 4.478027351869392353e-02 1.039872009784655136e-03
7.487551020408163893e+00 4.489714324880115376e-02 1.030613343774162234e-03
7.612857142857142989e+00 4.501465321190268459e-02 1.021486348303930021e-03
7.738163265306122085e+00 4.513277630024527948e-02 1.012492321143088720e-03
7.863469387755102957e+00 4.525148615848908346e-02 1.003632390326555327e-03
7.988775510204082053e+00 4.537075716157725619e-02 9.949075275041622656e-04
8.114081632653061149e+00 4.549056439320001838e-02 9.863185604659055906e-04
8.239387755102040245e+00 4.561088362486256237e-02 9.778661848806151358e-04
8.364693877551021117e+00 4.573169129556024087e-02 9.695509752855799562e-04
8.490000000000000213e+00 4.585296449206033992e-02 9.613733953646286896e-04
