#  Data for: empty_60SDS_micelle_CHARMM36_OPC_10fsSF_307K 
#  Bond: gamma 
#  Relaxation experiment: T2 
#  Magnetic field [T], Average T2 SRT [s], Error SRT [s]
2.350000000000000089e+00 3.349681928345251553e-02 1.302206901335441810e-03
2.475306122448979629e+00 3.356883007690373427e-02 1.284378869105476904e-03
2.600612244897959169e+00 3.364334884616168586e-02 1.266295970829840745e-03
2.725918367346938709e+00 3.372025177580980498e-02 1.248015785469185892e-03
2.851224489795918693e+00 3.379941876780734322e-02 1.229592207884839606e-03
2.976530612244897789e+00 3.388073365537776910e-02 1.211075406770004874e-03
3.101836734693877773e+00 3.396408433657040898e-02 1.192511841561120535e-03
3.227142857142857313e+00 3.404936283974505096e-02 1.173944328002595469e-03
3.352448979591836853e+00 3.413646533267956223e-02 1.155412142594070424e-03
3.477755102040816393e+00 3.422529208615729401e-02 1.136951156936101678e-03
3.603061224489795933e+00 3.431574740185274613e-02 1.118593993923484723e-03
3.728367346938775917e+00 3.440773951319277962e-02 1.100370198744664860e-03
3.853673469387755013e+00 3.450118046669337774e-02 1.082306418672686907e-03
3.978979591836734997e+00 3.459598599011653314e-02 1.064426586634413183e-03
4.104285714285714093e+00 3.469207535269719367e-02 1.046752104487294870e-03
4.229591836734694077e+00 3.478937122168346274e-02 1.029302022796079645e-03
4.354897959183674061e+00 3.488779951853077793e-02 1.012093214672259720e-03
4.480204081632653157e+00 3.498728927730070798e-02 9.951405419116440745e-04
4.605510204081632253e+00 3.508777250713709245e-02 9.784570122399398155e-04
4.730816326530612237e+00 3.518918406012323113e-02 9.620539269562475857e-04
4.856122448979592221e+00 3.529146150535610732e-02 9.459410186569125511e-04
4.981428571428571317e+00 3.539454500969738820e-02 9.301265790347248768e-04
5.106734693877551301e+00 3.549837722536621637e-02 9.146175769906493254e-04
5.232040816326531285e+00 3.560290318431404838e-02 8.994197674757594199e-04
5.357346938775510381e+00 3.570807019915719915e-02 8.845377916090219495e-04
5.482653061224489477e+00 3.581382777032738468e-02 8.699752687006100929e-04
5.607959183673469461e+00 3.592012749902636498e-02 8.557348808579419560e-04
5.733265306122449445e+00 3.602692300552848281e-02 8.418184508698066957e-04
5.858571428571428541e+00 3.613416985235876761e-02 8.282270140589492735e-04
5.983877551020408525e+00 3.624182547187632802e-02 8.149608847701242343e-04
6.109183673469388509e+00 3.634984909781020096e-02 8.020197181242556513e-04
6.234489795918367605e+00 3.645820170032141455e-02 7.894025676229072565e-04
6.359795918367346701e+00 3.656684592419819080e-02 7.771079391344605991e-04
6.485102040816327573e+00 3.667574602982837800e-02 7.651338417368682299e-04
6.610408163265306669e+00 3.678486783663192927e-02 7.534778358332907188e-04
6.735714285714285765e+00 3.689417866867471946e-02 7.421370788986683328e-04
6.861020408163264861e+00 3.700364730222250459e-02 7.311083691580357990e-04
6.986326530612245733e+00 3.711324391502913295e-02 7.203881874429377734e-04
7.111632653061224829e+00 3.722294003718573663e-02 7.099727374207373326e-04
7.236938775510203925e+00 3.733270850338754610e-02 6.998579843441489609e-04
7.362244897959183021e+00 3.744252340650120608e-02 6.900396924249443519e-04
7.487551020408163893e+00 3.755236005233926477e-02 6.805134608971046559e-04
7.612857142857142989e+00 3.766219491556841575e-02 6.712747588005975753e-04
7.738163265306122085e+00 3.777200559669564167e-02 6.623189584875938292e-04
7.863469387755102957e+00 3.788177078009089677e-02 6.536413678284133969e-04
7.988775510204082053e+00 3.799147019301699763e-02 6.452372610742384022e-04
8.114081632653061149e+00 3.810108456564713364e-02 6.371019083181082799e-04
8.239387755102040245e+00 3.821059559205795125e-02 6.292306034839780047e-04
8.364693877551021117e+00 3.831998589219238333e-02 6.216186907658947849e-04
8.490000000000000213e+00 3.842923897479014889e-02 6.142615894352208535e-04
