#  Data for: empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF_307K 
#  Bond: gamma 
#  Relaxation experiment: T2 
#  Magnetic field [T], Average T2 SRT [s], Error SRT [s]
2.350000000000000089e+00 6.319128550581701309e-02 3.699974701988079616e-03
2.475306122448979629e+00 6.324832360413724930e-02 3.676252136927601714e-03
2.600612244897959169e+00 6.330746333926352831e-02 3.651883151905602545e-03
2.725918367346938709e+00 6.336861263746508544e-02 3.626928023616617525e-03
2.851224489795918693e+00 6.343168154832966310e-02 3.601445108585596671e-03
2.976530612244897789e+00 6.349658253174779443e-02 3.575490646686528291e-03
3.101836734693877773e+00 6.356323068508765162e-02 3.549118609845595875e-03
3.227142857142857313e+00 6.363154391503655916e-02 3.522380592369333142e-03
3.352448979591836853e+00 6.370144305910896421e-02 3.495325738964942704e-03
3.477755102040816393e+00 6.377285196212226226e-02 3.468000706314927281e-03
3.603061224489795933e+00 6.384569751305368968e-02 3.440449654008989697e-03
3.728367346938775917e+00 6.391990964764181216e-02 3.412714260697915364e-03
3.853673469387755013e+00 6.399542132191805843e-02 3.384833761492663483e-03
3.978979591836734997e+00 6.407216846157483270e-02 3.356845002864011773e-03
4.104285714285714093e+00 6.415008989172671372e-02 3.328782511582584203e-03
4.229591836734694077e+00 6.422912725122252586e-02 3.300678574557040865e-03
4.354897959183674061e+00 6.430922489524087959e-02 3.272563326763685589e-03
4.480204081632653157e+00 6.439032978946758468e-02 3.244464844800542310e-03
4.605510204081632253e+00 6.447239139872344704e-02 3.216409243932225482e-03
4.730816326530612237e+00 6.455536157249762430e-02 3.188420776810859530e-03
4.856122448979592221e+00 6.463919442945158245e-02 3.160521932356768950e-03
4.981428571428571317e+00 6.472384624259862329e-02 3.132733533557241316e-03
5.106734693877551301e+00 6.480927532653639467e-02 3.105074833189334568e-03
5.232040816326531285e+00 6.489544192781641907e-02 3.077563606693263076e-03
5.357346938775510381e+00 6.498230811927711847e-02 3.050216241615947427e-03
5.482653061224489477e+00 6.506983769894174319e-02 3.023047823211036725e-03
5.607959183673469461e+00 6.515799609389048841e-02 2.996072215923405255e-03
5.733265306122449445e+00 6.524675026935487787e-02 2.969302140604692004e-03
5.858571428571428541e+00 6.533606864314664420e-02 2.942749247404095620e-03
5.983877551020408525e+00 6.542592100542503342e-02 2.916424184357279802e-03
6.109183673469388509e+00 6.551627844371783749e-02 2.890336661758533248e-03
6.234489795918367605e+00 6.560711327304395712e-02 2.864495512448764301e-03
6.359795918367346701e+00 6.569839897093354697e-02 2.838908748187467506e-03
6.485102040816327573e+00 6.579011011710485246e-02 2.813583612301093651e-03
6.610408163265306669e+00 6.588222233753132651e-02 2.788526628816538708e-03
6.735714285714285765e+00 6.597471225261856975e-02 2.763743648296870109e-03
6.861020408163264861e+00 6.606755742920268626e-02 2.739239890599324840e-03
6.986326530612245733e+00 6.616073633608245130e-02 2.715019984773675739e-03
7.111632653061224829e+00 6.625422830280180975e-02 2.691088006313644386e-03
7.236938775510203925e+00 6.634801348140928479e-02 2.667447511965769132e-03
7.362244897959183021e+00 6.644207281093200690e-02 2.644101572290120938e-03
7.487551020408163893e+00 6.653638798431642243e-02 2.621052802155555105e-03
7.612857142857142989e+00 6.663094141760368683e-02 2.598303389340100682e-03
7.738163265306122085e+00 6.672571622112370704e-02 2.575855121394268060e-03
7.863469387755102957e+00 6.682069617250829818e-02 2.553709410912255104e-03
7.988775510204082053e+00 6.691586569134135021e-02 2.531867319343635448e-03
8.114081632653061149e+00 6.701120981527887432e-02 2.510329579465841576e-03
8.239387755102040245e+00 6.710671417748927114e-02 2.489096616626096208e-03
8.364693877551021117e+00 6.720236498527713820e-02 2.468168568850720619e-03
8.490000000000000213e+00 6.729814899977004661e-02 2.447545305909326271e-03
