#  Data for: empty_60SDS_Na_DESAmber_TIP4P_307K_10fsSF 
#  Bond: omega 
#  Relaxation experiment: T2 
#  Magnetic field [T], Average T2 SRT [s], Error SRT [s]
2.350000000000000089e+00 1.938269413293252919e-01 1.920706840372934585e-02
2.475306122448979629e+00 1.940189687583682987e-01 1.915948510688761028e-02
2.600612244897959169e+00 1.942197139138689133e-01 1.911007174640232814e-02
2.725918367346938709e+00 1.944290111135724697e-01 1.905890893068767911e-02
2.851224489795918693e+00 1.946466917776834282e-01 1.900607776934531284e-02
2.976530612244897789e+00 1.948725849371605034e-01 1.895165955926677095e-02
3.101836734693877773e+00 1.951065177219563351e-01 1.889573548794754379e-02
3.227142857142857313e+00 1.953483158270679920e-01 1.883838635539467066e-02
3.352448979591836853e+00 1.955978039546668878e-01 1.877969231569814532e-02
3.477755102040816393e+00 1.958548062309645177e-01 1.871973263903442541e-02
3.603061224489795933e+00 1.961191465968397940e-01 1.865858549458413590e-02
3.728367346938775917e+00 1.963906491716060632e-01 1.859632775457758028e-02
3.853673469387755013e+00 1.966691385896181254e-01 1.853303481943530465e-02
3.978979591836734997e+00 1.969544403097181207e-01 1.846878046374678464e-02
4.104285714285714093e+00 1.972463808977849287e-01 1.840363670263231791e-02
4.229591836734694077e+00 1.975447882828876012e-01 1.833767367785911831e-02
4.354897959183674061e+00 1.978494919877481772e-01 1.827095956293523990e-02
4.480204081632653157e+00 1.981603233343934567e-01 1.820356048628197707e-02
4.605510204081632253e+00 1.984771156260168590e-01 1.813554047148714654e-02
4.730816326530612237e+00 1.987997043061894564e-01 1.806696139356612704e-02
4.856122448979592221e+00 1.991279270966435366e-01 1.799788295010370381e-02
4.981428571428571317e+00 1.994616241149177460e-01 1.792836264611585850e-02
5.106734693877551301e+00 1.998006379731915028e-01 1.785845579145484488e-02
5.232040816326531285e+00 2.001448138596557680e-01 1.778821550958056483e-02
5.357346938775510381e+00 2.004939996037690131e-01 1.771769275653574394e-02
5.482653061224489477e+00 2.008480457267326769e-01 1.764693634898895774e-02
5.607959183673469461e+00 2.012068054784919291e-01 1.757599300024526717e-02
5.733265306122449445e+00 2.015701348625291711e-01 1.750490736317024745e-02
5.858571428571428541e+00 2.019378926496685767e-01 1.743372207902381052e-02
5.983877551020408525e+00 2.023099403820538544e-01 1.736247783125809477e-02
6.109183673469388509e+00 2.026861423684017394e-01 1.729121340339280846e-02
6.234489795918367605e+00 2.030663656715665233e-01 1.721996574014579562e-02
6.359795918367346701e+00 2.034504800893849608e-01 1.714877001105946305e-02
6.485102040816327573e+00 2.038383581297015246e-01 1.707765967592875592e-02
6.610408163265306669e+00 2.042298749804035696e-01 1.700666655139957892e-02
6.735714285714285765e+00 2.046249084752312097e-01 1.693582087816997844e-02
6.861020408163264861e+00 2.050233390560561864e-01 1.686515138828515933e-02
6.986326530612245733e+00 2.054250497322605007e-01 1.679468537207732745e-02
7.111632653061224829e+00 2.058299260377865758e-01 1.672444874435526779e-02
7.236938775510203925e+00 2.062378559863667637e-01 1.665446610950126888e-02
7.362244897959183021e+00 2.066487300253885551e-01 1.658476082518206898e-02
7.487551020408163893e+00 2.070624409887975304e-01 1.651535506442581777e-02
7.612857142857142989e+00 2.074788840493919650e-01 1.644626987585892999e-02
7.738163265306122085e+00 2.078979566708183679e-01 1.637752524193629433e-02
7.863469387755102957e+00 2.083195585595350730e-01 1.630914013503242249e-02
7.988775510204082053e+00 2.087435916169737837e-01 1.624113257129417009e-02
8.114081632653061149e+00 2.091699598920937764e-01 1.617351966218356918e-02
8.239387755102040245e+00 2.095985695344932953e-01 1.610631766366605114e-02
8.364693877551021117e+00 2.100293287482126736e-01 1.603954202302131440e-02
8.490000000000000213e+00 2.104621477463414214e-01 1.597320742327444990e-02
