#  Data for: empty_60SDS_micelle_CHARMM36_TIP3P_10fsSF 
#  Bond: omega 
#  Relaxation experiment: T2 
#  Magnetic field [T], Average T2 SRT [s], Error SRT [s]
2.350000000000000089e+00 4.338733226684285960e-01 1.086612221764076021e-02
2.475306122448979629e+00 4.340256756601149069e-01 1.075034510530431357e-02
2.600612244897959169e+00 4.341788186377149028e-01 1.063429512095741963e-02
2.725918367346938709e+00 4.343323637215378841e-01 1.051828325402015020e-02
2.851224489795918693e+00 4.344859692802431339e-01 1.040258304918098564e-02
2.976530612244897789e+00 4.346393356005340824e-01 1.028743411179381881e-02
3.101836734693877773e+00 4.347922007019494051e-01 1.017304549481613286e-02
3.227142857142857313e+00 4.349443363933161444e-01 1.005959888958134034e-02
3.352448979591836853e+00 4.350955446277386951e-01 9.947251574749054609e-03
3.477755102040816393e+00 4.352456541828654824e-01 9.836139102089620431e-03
3.603061224489795933e+00 4.353945176713215903e-01 9.726377715365658663e-03
3.728367346938775917e+00 4.355420088711927096e-01 9.618066510646738204e-03
3.853673469387755013e+00 4.356880203568599952e-01 9.511289354086896117e-03
3.978979591836734997e+00 4.358324614050372858e-01 9.406116577553379210e-03
4.104285714285714093e+00 4.359752561484327438e-01 9.302606474417074792e-03
4.229591836734694077e+00 4.361163419491488891e-01 9.200806618036129828e-03
4.354897959183674061e+00 4.362556679650277935e-01 9.100755024554487219e-03
4.480204081632653157e+00 4.363931938840952540e-01 9.002481180050397880e-03
4.605510204081632253e+00 4.365288888046613969e-01 8.906006950113948620e-03
4.730816326530612237e+00 4.366627302412141032e-01 8.811347387845749196e-03
4.856122448979592221e+00 4.367947032387961559e-01 8.718511454201787261e-03
4.981428571428571317e+00 4.369247995809762419e-01 8.627502662656676494e-03
5.106734693877551301e+00 4.370530170787292334e-01 8.538319658379294602e-03
5.232040816326531285e+00 4.371793589295032700e-01 8.450956740535380332e-03
5.357346938775510381e+00 4.373038331374610177e-01 8.365404334956340338e-03
5.482653061224489477e+00 4.374264519873440893e-01 8.281649423238323163e-03
5.607959183673469461e+00 4.375472315656493971e-01 8.199675933343187478e-03
5.733265306122449445e+00 4.376661913238361623e-01 8.119465095946654457e-03
5.858571428571428541e+00 4.377833536791344571e-01 8.040995770095774042e-03
5.983877551020408525e+00 4.378987436492265406e-01 7.964244741179932197e-03
6.109183673469388509e+00 4.380123885176392950e-01 7.889186993766516415e-03
6.234489795918367605e+00 4.381243175271453683e-01 7.815795961485129742e-03
6.359795918367346701e+00 4.382345615988409993e-01 7.744043755849917311e-03
6.485102040816327573e+00 4.383431530748671534e-01 7.673901375673326114e-03
6.610408163265306669e+00 4.384501254829749062e-01 7.605338898533509431e-03
6.735714285714285765e+00 4.385555133213352996e-01 7.538325655605329807e-03
6.861020408163264861e+00 4.386593518621447196e-01 7.472830391040434159e-03
6.986326530612245733e+00 4.387616769727043509e-01 7.408821406980230229e-03
7.111632653061224829e+00 4.388625249527607353e-01 7.346266695202108288e-03
7.236938775510203925e+00 4.389619323869795031e-01 7.285134056327496888e-03
7.362244897959183021e+00 4.390599360115006178e-01 7.225391207460538610e-03
7.487551020408163893e+00 4.391565725935916986e-01 7.167005879071772570e-03
7.612857142857142989e+00 4.392518788234694438e-01 7.109945901895058096e-03
7.738163265306122085e+00 4.393458912174179609e-01 7.054179284561307509e-03
7.863469387755102957e+00 4.394386460313773335e-01 6.999674282653092772e-03
7.988775510204082053e+00 4.395301791842242678e-01 6.946399459826041629e-03
8.114081632653061149e+00 4.396205261900072436e-01 6.894323741607657173e-03
8.239387755102040245e+00 4.397097220984443333e-01 6.843416462448989428e-03
8.364693877551021117e+00 4.397978014430261040e-01 6.793647406572401494e-03
8.490000000000000213e+00 4.398847981961084286e-01 6.744986843125949823e-03
