# SDS molecules timescales for micelle with GWALP peptide 
# All non-zero weights are listed in format:
# Timescale [s]     Weight

# CH bond number: 1
     1.5136e-14     0.3680
     5.7544e-12     0.0600
     6.6069e-12     0.1475
     1.5136e-11     0.0594
     1.7378e-11     0.1334
     3.9811e-11     0.1064
     4.5709e-11     0.0034
     9.1201e-11     0.0012
     1.0471e-10     0.0399
     3.6308e-10     0.0268
     4.1687e-10     0.0005
     1.0965e-09     0.0244
     1.2589e-09     0.0012
     3.8019e-09     0.0145
     4.3652e-09     0.0104
     8.7096e-09     0.0031

# CH bond number: 2
     2.1878e-12     0.2762
     2.5119e-12     0.1197
     7.5858e-12     0.1134
     8.7096e-12     0.0600
     1.7378e-11     0.1701
     3.9811e-11     0.1301
     1.0471e-10     0.0078
     1.2023e-10     0.0438
     4.7863e-10     0.0275
     5.4954e-10     0.0108
     1.4454e-09     0.0193
     1.6596e-09     0.0033
     3.8019e-09     0.0034
     4.3652e-09     0.0113
     8.7096e-09     0.0032

# CH bond number: 3
     2.1878e-12     0.1182
     2.5119e-12     0.2650
     8.7096e-12     0.0494
     1.0000e-11     0.1690
     1.9953e-11     0.0369
     2.2909e-11     0.1483
     4.5709e-11     0.0954
     1.2023e-10     0.0159
     1.3804e-10     0.0290
     4.7863e-10     0.0169
     5.4954e-10     0.0217
     1.2589e-09     0.0157
     1.4454e-09     0.0045
     3.8019e-09     0.0114
     4.3652e-09     0.0001
     8.7096e-09     0.0027

# CH bond number: 4
     1.9055e-12     0.0045
     2.1878e-12     0.3504
     7.5858e-12     0.0819
     8.7096e-12     0.0933
     1.7378e-11     0.1589
     1.9953e-11     0.0499
     3.9811e-11     0.1117
     4.5709e-11     0.0141
     1.2023e-10     0.0303
     1.3804e-10     0.0167
     4.7863e-10     0.0349
     5.4954e-10     0.0087
     1.0965e-09     0.0245
     1.2589e-09     0.0037
     3.3113e-09     0.0100
     3.8019e-09     0.0032
     8.7096e-09     0.0033

# CH bond number: 5
     2.1878e-12     0.2352
     2.5119e-12     0.1279
     7.5858e-12     0.0032
     8.7096e-12     0.1816
     1.9953e-11     0.2060
     2.2909e-11     0.0231
     4.5709e-11     0.0237
     5.2481e-11     0.0793
     1.8197e-10     0.0288
     2.0893e-10     0.0100
     6.3096e-10     0.0319
     7.2444e-10     0.0261
     1.4454e-09     0.0042
     2.5119e-09     0.0074
     2.8840e-09     0.0085
     8.7096e-09     0.0032

# CH bond number: 6
     2.1878e-12     0.1412
     2.5119e-12     0.2392
     8.7096e-12     0.0759
     1.0000e-11     0.1142
     1.7378e-11     0.0979
     2.6303e-11     0.1150
     3.0200e-11     0.0322
     6.0256e-11     0.0638
     1.8197e-10     0.0175
     2.0893e-10     0.0137
     4.7863e-10     0.0084
     5.4954e-10     0.0311
     8.3176e-10     0.0218
     9.5499e-10     0.0083
     2.5119e-09     0.0080
     2.8840e-09     0.0087
     8.7096e-09     0.0031

# CH bond number: 7
     5.2481e-14     0.3270
     5.7544e-12     0.1552
     1.1482e-11     0.0190
     1.3183e-11     0.1570
     2.2909e-11     0.0586
     2.6303e-11     0.0988
     6.0256e-11     0.0686
     2.0893e-10     0.0170
     2.3988e-10     0.0223
     6.3096e-10     0.0195
     7.2444e-10     0.0383
     2.5119e-09     0.0136
     2.8840e-09     0.0023
     8.7096e-09     0.0028

# CH bond number: 8
     1.9055e-12     0.1507
     2.1878e-12     0.2453
     6.6069e-12     0.0846
     7.5858e-12     0.0706
     1.5136e-11     0.0988
     1.7378e-11     0.1191
     3.9811e-11     0.0857
     4.5709e-11     0.0104
     6.9183e-11     0.0200
     1.5849e-10     0.0002
     1.8197e-10     0.0407
     5.4954e-10     0.0073
     6.3096e-10     0.0469
     1.4454e-09     0.0050
     2.5119e-09     0.0089
     2.8840e-09     0.0033
     8.7096e-09     0.0026

# CH bond number: 9
     2.1878e-12     0.0772
     2.5119e-12     0.4094
     1.0000e-11     0.1178
     1.1482e-11     0.1223
     2.6303e-11     0.0892
     3.0200e-11     0.0449
     6.0256e-11     0.0151
     6.9183e-11     0.0291
     1.8197e-10     0.0179
     2.0893e-10     0.0224
     6.3096e-10     0.0269
     7.2444e-10     0.0148
     2.1878e-09     0.0008
     2.5119e-09     0.0099
     8.7096e-09     0.0023

# CH bond number: 10
     2.1878e-12     0.4103
     2.5119e-12     0.1138
     7.5858e-12     0.0004
     8.7096e-12     0.1979
     1.7378e-11     0.0050
     1.9953e-11     0.1429
     5.2481e-11     0.0366
     6.0256e-11     0.0212
     1.8197e-10     0.0177
     2.0893e-10     0.0151
     6.3096e-10     0.0149
     7.2444e-10     0.0154
     2.8840e-09     0.0069
     3.3113e-09     0.0002
     8.7096e-09     0.0016

# CH bond number: 11
     2.1878e-12     0.3956
     2.5119e-12     0.1985
     8.7096e-12     0.1007
     1.0000e-11     0.1267
     1.9953e-11     0.0021
     2.2909e-11     0.1016
     6.0256e-11     0.0119
     6.9183e-11     0.0214
