# SDS molecules timescales for micelle with Mag2 peptide 
# All non-zero weights are listed in format:
# Timescale [s]     Weight

# CH bond number: 1
     1.2589e-14     0.4067
     8.9125e-12     0.0214
     1.0000e-11     0.3005
     3.9811e-11     0.0375
     4.4668e-11     0.1578
     8.9125e-10     0.0760

# CH bond number: 2
     2.2387e-12     0.0627
     2.5119e-12     0.3672
     1.2589e-11     0.3198
     5.0119e-11     0.0278
     5.6234e-11     0.1475
     8.9125e-10     0.0751

# CH bond number: 3
     2.8184e-12     0.2265
     3.1623e-12     0.2131
     1.4125e-11     0.1246
     1.5849e-11     0.2221
     6.3096e-11     0.0987
     7.0795e-11     0.0483
     8.9125e-10     0.0668

# CH bond number: 4
     2.8184e-12     0.1395
     3.1623e-12     0.2981
     1.5849e-11     0.3510
     7.0795e-11     0.1071
     7.9433e-11     0.0294
     8.9125e-10     0.0749

# CH bond number: 5
     1.2589e-14     0.2685
     5.0119e-12     0.0952
     5.6234e-12     0.1260
     1.7783e-11     0.2115
     1.9953e-11     0.1154
     7.9433e-11     0.0133
     8.9125e-11     0.0988
     8.9125e-10     0.0713

# CH bond number: 6
     2.8184e-13     0.2765
     5.0119e-12     0.0755
     5.6234e-12     0.1516
     1.7783e-11     0.1503
     1.9953e-11     0.1717
     8.9125e-11     0.0297
     1.0000e-10     0.0737
     8.9125e-10     0.0710

# CH bond number: 7
     1.2589e-14     0.3224
     6.3096e-12     0.2209
     7.0795e-12     0.0126
     1.9953e-11     0.2534
     2.2387e-11     0.0348
     1.0000e-10     0.0099
     1.1220e-10     0.0839
     8.9125e-10     0.0621

# CH bond number: 8
     2.8184e-13     0.3510
     6.3096e-12     0.2255
     7.0795e-12     0.0184
     1.9953e-11     0.1964
     2.2387e-11     0.0664
     1.1220e-10     0.0715
     1.2589e-10     0.0183
     8.9125e-10     0.0524

# CH bond number: 9
     2.8184e-13     0.4191
     7.0795e-12     0.1362
     7.9433e-12     0.1272
     2.2387e-11     0.1713
     2.5119e-11     0.0325
     1.1220e-10     0.0206
     1.2589e-10     0.0547
     8.9125e-10     0.0384

# CH bond number: 10
     1.7783e-12     0.2813
     1.9953e-12     0.2192
     7.9433e-12     0.2536
     2.2387e-11     0.1459
     2.5119e-11     0.0165
     1.1220e-10     0.0204
     1.2589e-10     0.0365
     8.9125e-10     0.0266

# CH bond number: 11
     2.2387e-12     0.5047
     2.5119e-12     0.0963
     8.9125e-12     0.2075
     1.0000e-11     0.0388
     2.2387e-11     0.0260
     2.5119e-11     0.0787
     1.1220e-10     0.0019
     1.2589e-10     0.0317
     8.9125e-10     0.0144

# CH bond number: 12
     2.2387e-12     0.5259
     2.5119e-12     0.1300
     7.9433e-12     0.2137
     8.9125e-12     0.0708
     1.7783e-11     0.0445
     1.9953e-11     0.0095
     8.9125e-11     0.0001
     1.0000e-10     0.0043
     8.9125e-10     0.0012

