# SDS molecules timescales for micelle with eElab peptide 
# All non-zero weights are listed in format:
# Timescale [s]     Weight

# CH bond number: 1
     1.2589e-14     0.4034
     8.9125e-12     0.0425
     1.0000e-11     0.2747
     3.9811e-11     0.0651
     4.4668e-11     0.1339
     8.9125e-10     0.0803

# CH bond number: 2
     2.5119e-12     0.0684
     2.8184e-12     0.3821
     1.2589e-11     0.0682
     1.4125e-11     0.2376
     5.6234e-11     0.1175
     6.3096e-11     0.0494
     8.9125e-10     0.0770

# CH bond number: 3
     1.2589e-14     0.2536
     4.4668e-12     0.0218
     5.0119e-12     0.2107
     1.7783e-11     0.2750
     1.9953e-11     0.0465
     7.0795e-11     0.0559
     7.9433e-11     0.0692
     8.9125e-10     0.0672

# CH bond number: 4
     1.2589e-14     0.2810
     5.6234e-12     0.1624
     6.3096e-12     0.0528
     1.7783e-11     0.0902
     1.9953e-11     0.2246
     7.9433e-11     0.0393
     8.9125e-11     0.0734
     8.9125e-10     0.0764

# CH bond number: 5
     1.2589e-14     0.3118
     7.0795e-12     0.1738
     7.9433e-12     0.0596
     2.2387e-11     0.2888
     1.0000e-10     0.0465
     1.1220e-10     0.0467
     8.9125e-10     0.0728

# CH bond number: 6
     1.2589e-14     0.3165
     7.0795e-12     0.2173
     7.9433e-12     0.0186
     2.2387e-11     0.2560
     2.5119e-11     0.0336
     1.1220e-10     0.0430
     1.2589e-10     0.0419
     8.9125e-10     0.0730

# CH bond number: 7
     1.2589e-14     0.3494
     7.9433e-12     0.2218
     8.9125e-12     0.0374
     2.2387e-11     0.0336
     2.5119e-11     0.2155
     1.2589e-10     0.0196
     1.4125e-10     0.0592
     8.9125e-10     0.0635

# CH bond number: 8
     1.2589e-14     0.3789
     7.9433e-12     0.2322
     8.9125e-12     0.0339
     2.2387e-11     0.0036
     2.5119e-11     0.2197
     1.4125e-10     0.0779
     1.5849e-10     0.0002
     8.9125e-10     0.0536

# CH bond number: 9
     1.7783e-12     0.3677
     1.9953e-12     0.0797
     8.9125e-12     0.2340
     1.0000e-11     0.0422
     2.8184e-11     0.1703
     1.4125e-10     0.0392
     1.5849e-10     0.0276
     8.9125e-10     0.0393

# CH bond number: 10
     2.2387e-12     0.4427
     2.5119e-12     0.0963
     8.9125e-12     0.0257
     1.0000e-11     0.2311
     2.8184e-11     0.1016
     3.1623e-11     0.0257
     1.4125e-10     0.0254
     1.5849e-10     0.0248
     8.9125e-10     0.0266

# CH bond number: 11
     1.9953e-12     0.3456
     2.2387e-12     0.1658
     3.9811e-12     0.1252
     1.0000e-11     0.0898
     1.1220e-11     0.1475
     2.8184e-11     0.0196
     3.1623e-11     0.0619
     1.4125e-10     0.0083
     1.5849e-10     0.0221
     8.9125e-10     0.0142

# CH bond number: 12
     1.2589e-14     0.4880
     3.5481e-12     0.0632
     3.9811e-12     0.1258
     7.9433e-12     0.0965
     8.9125e-12     0.1733
     1.9953e-11     0.0374
     2.2387e-11     0.0110
     1.2589e-10     0.0025
     1.4125e-10     0.0010
     8.9125e-10     0.0012

