# SDS molecules timescales for micelle with eYqjD peptide 
# All non-zero weights are listed in format:
# Timescale [s]     Weight

# CH bond number: 1
     1.2589e-14     0.3716
     7.9433e-12     0.2949
     8.9125e-12     0.0108
     3.1623e-11     0.0092
     3.5481e-11     0.2237
     8.9125e-10     0.0898

# CH bond number: 2
     1.9953e-12     0.3390
     2.2387e-12     0.0635
     1.0000e-11     0.0048
     1.1220e-11     0.3133
     4.4668e-11     0.0514
     5.0119e-11     0.1441
     8.9125e-10     0.0839

# CH bond number: 3
     2.8184e-12     0.2950
     3.1623e-12     0.1413
     1.4125e-11     0.1345
     1.5849e-11     0.2088
     6.3096e-11     0.1445
     7.0795e-11     0.0041
     8.9125e-10     0.0719

# CH bond number: 4
     2.8184e-12     0.1110
     3.1623e-12     0.3296
     1.5849e-11     0.2768
     1.7783e-11     0.0707
     7.0795e-11     0.1178
     7.9433e-11     0.0135
     8.9125e-10     0.0805

# CH bond number: 5
     1.2589e-14     0.2811
     5.6234e-12     0.2138
     1.7783e-11     0.1213
     1.9953e-11     0.2027
     8.9125e-11     0.0952
     1.0000e-10     0.0100
     8.9125e-10     0.0760

# CH bond number: 6
     1.2589e-14     0.2982
     5.6234e-12     0.0983
     6.3096e-12     0.1217
     1.9953e-11     0.3117
     1.0000e-10     0.0814
     1.1220e-10     0.0130
     8.9125e-10     0.0757

# CH bond number: 7
     1.2589e-14     0.3365
     6.3096e-12     0.0340
     7.0795e-12     0.2043
     1.9953e-11     0.0821
     2.2387e-11     0.1917
     1.1220e-10     0.0364
     1.2589e-10     0.0496
     8.9125e-10     0.0655

# CH bond number: 8
     1.2589e-14     0.3743
     7.0795e-12     0.1671
     7.9433e-12     0.0833
     2.2387e-11     0.2133
     2.5119e-11     0.0246
     1.2589e-10     0.0825
     8.9125e-10     0.0549

# CH bond number: 9
     1.1220e-12     0.3372
     1.2589e-12     0.0921
     7.9433e-12     0.2668
     2.2387e-11     0.0435
     2.5119e-11     0.1492
     1.2589e-10     0.0396
     1.4125e-10     0.0315
     8.9125e-10     0.0401

# CH bond number: 10
     1.5849e-12     0.1617
     1.7783e-12     0.3382
     7.9433e-12     0.1870
     8.9125e-12     0.0796
     2.2387e-11     0.0344
     2.5119e-11     0.1176
     1.2589e-10     0.0367
     1.4125e-10     0.0173
     8.9125e-10     0.0275

# CH bond number: 11
     1.2589e-14     0.3345
     2.8184e-12     0.2693
     8.9125e-12     0.1599
     1.0000e-11     0.0911
     2.5119e-11     0.0552
     2.8184e-11     0.0438
     1.2589e-10     0.0040
     1.4125e-10     0.0277
     8.9125e-10     0.0145

# CH bond number: 12
     1.2589e-14     0.5673
     6.3096e-12     0.2401
     7.0795e-12     0.0726
     1.4125e-11     0.1093
     3.5481e-11     0.0023
     3.9811e-11     0.0044
     1.2589e-10     0.0024
     1.4125e-10     0.0005
     8.9125e-10     0.0012

