# SDS molecules timescales for micelle with hMff peptide 
# All non-zero weights are listed in format:
# Timescale [s]     Weight

# CH bond number: 1
     2.9512e-13     0.3310
     4.5709e-12     0.0779
     5.3703e-12     0.1023
     1.2023e-11     0.0862
     1.4125e-11     0.1181
     3.1623e-11     0.0947
     3.7154e-11     0.0448
     8.3176e-11     0.0116
     9.7724e-11     0.0490
     4.1687e-10     0.0273
     4.8978e-10     0.0101
     1.7783e-09     0.0211
     2.0893e-09     0.0074
     4.6774e-09     0.0057
     5.4954e-09     0.0126

# CH bond number: 2
     2.3988e-12     0.3247
     2.8184e-12     0.0812
     8.7096e-12     0.1659
     1.0233e-11     0.0079
     1.6596e-11     0.0167
     1.9498e-11     0.1511
     3.7154e-11     0.0375
     4.3652e-11     0.0696
     9.7724e-11     0.0198
     1.1482e-10     0.0426
     4.1687e-10     0.0029
     4.8978e-10     0.0390
     1.5136e-09     0.0149
     2.4547e-09     0.0086
     2.8840e-09     0.0073
     5.4954e-09     0.0046
     6.4565e-09     0.0056

# CH bond number: 3
     2.0417e-12     0.0250
     2.3988e-12     0.3453
     8.7096e-12     0.1510
     1.0233e-11     0.0505
     1.9498e-11     0.1115
     2.2909e-11     0.0915
     4.3652e-11     0.0555
     5.1286e-11     0.0455
     1.1482e-10     0.0179
     1.3490e-10     0.0298
     4.1687e-10     0.0029
     4.8978e-10     0.0381
     1.5136e-09     0.0076
     1.7783e-09     0.0176
     5.4954e-09     0.0087
     6.4565e-09     0.0017

# CH bond number: 4
     1.7378e-12     0.0426
     2.0417e-12     0.2968
     7.4131e-12     0.1562
     1.4125e-11     0.0682
     1.6596e-11     0.1389
     3.1623e-11     0.0437
     3.7154e-11     0.1024
     9.7724e-11     0.0311
     1.1482e-10     0.0280
     4.1687e-10     0.0182
     4.8978e-10     0.0343
     1.5136e-09     0.0142
     1.7783e-09     0.0144
     5.4954e-09     0.0088
     6.4565e-09     0.0024

# CH bond number: 5
     1.6218e-14     0.3114
     5.3703e-12     0.0185
     6.3096e-12     0.1328
     1.4125e-11     0.2239
     3.1623e-11     0.0956
     3.7154e-11     0.0686
     9.7724e-11     0.0501
     1.1482e-10     0.0006
     3.5481e-10     0.0218
     4.1687e-10     0.0303
     9.3325e-10     0.0054
     1.0965e-09     0.0202
     2.0893e-09     0.0110
     5.4954e-09     0.0088
     6.4565e-09     0.0010

# CH bond number: 6
     1.4791e-12     0.1891
     1.7378e-12     0.1168
     4.5709e-12     0.1112
     1.0233e-11     0.0001
     1.2023e-11     0.2494
     2.6915e-11     0.0288
     3.1623e-11     0.1532
     9.7724e-11     0.0512
     3.5481e-10     0.0084
     4.1687e-10     0.0499
     1.0965e-09     0.0058
     1.2882e-09     0.0214
     3.3884e-09     0.0083
     5.4954e-09     0.0033
     6.4565e-09     0.0032

# CH bond number: 7
     1.2589e-12     0.1206
     1.4791e-12     0.2310
     7.4131e-12     0.2088
     1.6596e-11     0.0684
     1.9498e-11     0.1475
     3.7154e-11     0.0278
     4.3652e-11     0.0630
     9.7724e-11     0.0035
     1.1482e-10     0.0377
     3.5481e-10     0.0013
     4.1687e-10     0.0556
     1.2882e-09     0.0177
     1.5136e-09     0.0066
     3.9811e-09     0.0028
     4.6774e-09     0.0068
     1.0471e-08     0.0009

# CH bond number: 8
     1.9055e-14     0.3419
     4.5709e-12     0.0764
     5.3703e-12     0.0818
     1.2023e-11     0.1231
     1.4125e-11     0.1138
     3.1623e-11     0.0761
     3.7154e-11     0.0605
     9.7724e-11     0.0018
     1.1482e-10     0.0440
     3.5481e-10     0.0334
     5.7544e-10     0.0089
     6.7608e-10     0.0173
     1.7783e-09     0.0141
     5.4954e-09     0.0060
     6.4565e-09     0.0011

# CH bond number: 9
     1.9055e-14     0.4047
     5.3703e-12     0.0855
     6.3096e-12     0.0785
     1.0233e-11     0.0384
     1.2023e-11     0.0916
     1.9498e-11     0.1287
     4.3652e-11     0.0523
     5.1286e-11     0.0240
     1.1482e-10     0.0041
     1.3490e-10     0.0319
     3.5481e-10     0.0219
     5.7544e-10     0.0210
     1.5136e-09     0.0089
     1.7783e-09     0.0030
     5.4954e-09     0.0054
     6.4565e-09     0.0001

# CH bond number: 10
     1.9055e-14     0.3833
     3.3113e-12     0.0362
     3.8905e-12     0.1547
     1.0233e-11     0.1921
     1.9498e-11     0.0988
     2.2909e-11     0.0054
     4.3652e-11     0.0393
     5.1286e-11     0.0217
     1.5849e-10     0.0328
     1.8621e-10     0.0002
     4.8978e-10     0.0013
     5.7544e-10     0.0250
     2.4547e-09     0.0045
     2.8840e-09     0.0030
     7.5858e-09     0.0009
     8.9125e-09     0.0006

# CH bond number: 11
     1.9055e-14     0.4859
     4.5709e-12     0.1530
     5.3703e-12     0.0200
     1.0233e-11     0.1437
     1.2023e-11     0.0527
     2.2909e-11     0.0693
     2.6915e-11     0.0089
     6.0256e-11     0.0304
     1.5849e-10     0.0047
     1.8621e-10     0.0127
     4.8978e-10     0.0006
     5.7544e-10     0.0133
     2.4547e-09     0.0039
     7.5858e-09     0.0009
     8.9125e-09     0.0001

# CH bond number: 12
     2.0417e-12     0.4166
     2.3988e-12     0.2285
     7.4131e-12     0.0671
     8.7096e-12     0.2388
     1.9498e-11     0.0255
     2.2909e-11     0.0181
     9.7724e-11     0.0017
     1.1482e-10     0.0020
     5.7544e-10     0.0013
     3.3884e-09     0.0003
     3.9811e-09     0.0001
     1.6982e-08     0.0000
     1.9953e-08     0.0000

