# SDS molecules timescales for micelle with yFis1 peptide 
# All non-zero weights are listed in format:
# Timescale [s]     Weight

# CH bond number: 1
     1.2589e-14     0.2474
     5.0119e-12     0.2576
     5.6234e-12     0.1045
     2.8184e-11     0.2173
     3.1623e-11     0.0710
     8.9125e-10     0.1023

# CH bond number: 2
     1.2589e-14     0.3380
     7.9433e-12     0.2611
     8.9125e-12     0.0474
     3.5481e-11     0.1340
     3.9811e-11     0.1210
     8.9125e-10     0.0984

# CH bond number: 3
     2.8184e-13     0.3521
     1.0000e-11     0.1135
     1.1220e-11     0.2283
     4.4668e-11     0.2194
     8.9125e-10     0.0868

# CH bond number: 4
     1.2589e-14     0.3475
     1.0000e-11     0.0444
     1.1220e-11     0.2994
     4.4668e-11     0.1693
     5.0119e-11     0.0420
     8.9125e-10     0.0973

# CH bond number: 5
     2.2387e-12     0.0240
     2.5119e-12     0.3706
     1.2589e-11     0.1390
     1.4125e-11     0.2046
     5.0119e-11     0.0432
     5.6234e-11     0.1261
     8.9125e-10     0.0926

# CH bond number: 6
     2.5119e-12     0.3011
     2.8184e-12     0.1122
     1.4125e-11     0.3438
     5.6234e-11     0.0876
     6.3096e-11     0.0626
     8.9125e-10     0.0927

# CH bond number: 7
     2.8184e-12     0.2246
     3.1623e-12     0.2427
     1.4125e-11     0.0032
     1.5849e-11     0.3278
     7.0795e-11     0.0840
     7.9433e-11     0.0361
     8.9125e-10     0.0817

# CH bond number: 8
     2.8184e-13     0.1589
     3.5481e-12     0.3548
     1.5849e-11     0.2411
     1.7783e-11     0.0655
     7.9433e-11     0.0936
     8.9125e-11     0.0164
     8.9125e-10     0.0697

# CH bond number: 9
     1.2589e-14     0.3531
     5.0119e-12     0.2311
     5.6234e-12     0.0104
     1.5849e-11     0.0435
     1.7783e-11     0.2181
     8.9125e-11     0.0838
     1.0000e-10     0.0080
     8.9125e-10     0.0519

# CH bond number: 10
     1.2589e-14     0.4455
     5.6234e-12     0.1299
     6.3096e-12     0.1053
     1.5849e-11     0.0105
     1.7783e-11     0.2030
     8.9125e-11     0.0564
     1.0000e-10     0.0135
     8.9125e-10     0.0358

# CH bond number: 11
     1.2589e-14     0.5175
     6.3096e-12     0.1639
     7.0795e-12     0.0949
     1.7783e-11     0.1025
     1.9953e-11     0.0600
     8.9125e-11     0.0052
     1.0000e-10     0.0369
     8.9125e-10     0.0191

# CH bond number: 12
     2.2387e-12     0.2633
     2.5119e-12     0.4061
     7.9433e-12     0.0542
     8.9125e-12     0.2294
     1.9953e-11     0.0177
     2.2387e-11     0.0243
     1.0000e-10     0.0029
     1.1220e-10     0.0006
     8.9125e-10     0.0016

